,Date,User,Tweet
70,2022-08-12 14:02:50+00:00,nisala46,"What does the Parliament of Sri Lanka do? @RW_UNP
#SriLanka #srilankan #SriLankaProtests #sl @"
71,2022-08-12 13:51:00+00:00,keyboardveddha,Unpopular opinion : when it comes to stealing wealth and causing bankruptcy in #SriLanka @GotabayaR didn’t steal a fraction compared to his brother’s @PresRajapaksa and #basil #kaputa yet these 2 are roaming free. #SriLankaCrisis #SriLankaProtests #SriLankaEconomicCrisis
72,2022-08-12 13:36:23+00:00,PrabodOfficial,"Postage charges increased from 15th August 2022. Rs. 50/- for a normal letter, and Rs. 60/- for Registered Post - Postmaster General
#lka #SriLankaCrisis"
73,2022-08-12 13:08:48+00:00,Sigrid_deSilva,We got a full GAS Cylinder at last! But have decided to only use it sparingly. To save Forex expenditure. #wecandoit #SriLankaEconomicCrisis
74,2022-08-12 09:59:40+00:00,InvictuSriLanka,"WHAT is this Fan Boy obsession with @GotabayaR 

We wanted him to leave, kept tracking all the bloody Planes, Ships and Submarines like the CIA. After he left, kept tracking his Air tickets, movements in Male, Singapore now Thailand. 

Move the fuck on 😂

#SriLankaCrisis #lka"
75,2022-08-12 09:48:49+00:00,PrabodOfficial,"Scottish Tourist Kayleigh Fraser files writ application with Court of Appeal against decision taken to deport her from Sri Lanka.
#lka #SriLankaCrisis"
76,2022-08-12 09:40:04+00:00,PrabodOfficial,"The 80% school attendance requirement to sit for the GCE A/L Examination will not be applicable for students hoping to sit for the exam in December - Education Ministry
#lka #SriLankaCrisis"
77,2022-08-12 08:52:18+00:00,PrabodOfficial,"Rev. Fr. Jeewantha Peiris has been released on two Rs. 500,000 surety bails each. An International travel ban has also been imposed.
#lka #SriLankaCrisis"
78,2022-08-12 08:51:59+00:00,PrabodOfficial,"Police STF and the UDA have cleared the remaining makeshift tents including the people at the Galle Face protest site
#lka #SriLankaCrisis"
79,2022-08-12 08:49:35+00:00,nuzlarizkiya,"Mandatory 80% school attendance will not be considered for #SriLanka A/L stydents sitting for examination in December 2022
-Ministry of Education-

#SriLankaCrisis #FuelCrisisLK"
80,2022-08-12 08:14:03+00:00,Charindra_Chan,"Harsha De Silva has said he heard that the State of Emergency is being continued not to control Aragalaya but to control public protests that may arise due to planned economic reforms. It could be a long, long SoE then. #lka #SriLanka #SriLankaCrisis #SriLankaProtests"
81,2022-08-12 08:08:20+00:00,finityfund,"What is the impact of #FuelPass! 

✅ Fuel queue reduced

🚫 Fuel shortage remain same 

#SriLankaCrisis #SriLankaEconomicCrisis #SriLankaProtests #GoHomeRanil"
82,2022-08-12 08:03:47+00:00,muditha,"According to Diana - Opposition ""blah blah""
She is not sure they can form a stable government. 
#lka #SriLankaProtests 
So... please fucking resign."
83,2022-08-12 07:59:42+00:00,muditha,"According to AKD, the lady who headed the committee investigated Nimal Siripala's corruption charges was proposed by Nimal Siripala to President Ranil. #Corruption #lka #Parliament #SriLankaProtests"
84,2022-08-12 06:25:41+00:00,RizwanStWEET,"Allegations of trespassing and damaging property at the Presidential Palace; 4 including Dhaniz Ali remanded until August 26

#SriLankaCrisis #ProtestLK #PoliticalCrisisLK #EconomicCrisisLK #SriLanka #LKA #SL"
85,2022-08-12 05:40:13+00:00,PrabodOfficial,"Dhaniz Ali &amp; 3 others who were arrested for forcibly entering the Presidents House further remanded until August 26
#lka #SriLankaCrisis"
86,2022-08-12 05:33:45+00:00,finityfund,Some people asked whether it was really a reason to arrest someone for sleeping on the President's flag. What will you do if someone comes to your house and sleeps on your wife's clothes? Will that be forgiven as well? #ParlimentJokes #SriLankaCrisis #DefaultLK
87,2022-08-12 05:17:22+00:00,muditha,"Finally a speech I can whole heartedly agree in the #Parliament of #lka from @HarshadeSilvaMP 
Thank You for voicing the real #aragalay sentiment.
#SriLankaProtests"
88,2022-08-12 04:43:05+00:00,finityfund,"Over 47k tourists in July despite chaos

Sri Lanka 47,293 / July

📍UK – 9,257 
📍 India - 6,031 
📍 Germany - 3,666

#SriLankaCrisis #SriLankaEconomicCrisis"
89,2022-08-12 04:29:18+00:00,PrabodOfficial,"A leading drug trafficker and organized crime gang leader Nadun Chinthaka alias "" Harak Kata "" has been reportedly arrested in Dubai
#lka #SriLankaCrisis"
90,2022-08-12 03:58:52+00:00,Welikumbura,"Saving the economy is not sacrificing the poor. It's about saving the poor during economic hardship.

#lka #SriLanka #EconomicCrisisLK #SriLankaEconomicCrisis"
91,2022-08-12 03:56:22+00:00,Chiragw151186,"Cricket Australia donated their prize money from the recent tour of Sri Lanka to support children and families impacted by the nation's worst economic crisis in decades.👏❤️
#CricketAustralia #SriLankaEconomicCrisis"
92,2022-08-12 03:23:27+00:00,jatamit01,"BRI towards destruction.
#ChinaBRI #BRI #ChinaExposed
#Bangladesh #Pakistan #SriLankaCrisis #Africa #StayAwayFromChinaLoan
@nailainayat @sidhant @YusufDFI @bdhc_delhi @DrSJaishankar @Chellaney"
